id	file_name_f	file_name_r	plate	well	sequencing_batch	label	environment	location	site	date
1	24025-0001_all_R1.fastq	24025-0001_all_R2.fastq	plate_1	A1	1+4	1_LK_AQ	seawater	lim_bay	aquaculture	10.07.2020
2	24025-0002_all_R1.fastq	24025-0002_all_R2.fastq	plate_1	B1	1+4	1_LK_CTRL	seawater	lim_bay	control	10.07.2020
3	24025-0003_all_R1.fastq	24025-0003_all_R2.fastq	plate_1	C1	1	1_MS_AQ	seawater	mali_ston_bay	aquaculture	07.07.2020
4	24025-0004_all_R1.fastq	24025-0004_all_R2.fastq	plate_1	D1	1	1_MS_CTRL	seawater	mali_ston_bay	control	07.07.2020
5	24025-0005_all_R1.fastq	24025-0005_all_R2.fastq	plate_1	E1	1+4	2_LK_AQ	seawater	lim_bay	aquaculture	19.09.2020
6	24025-0006_all_R1.fastq	24025-0006_all_R2.fastq	plate_1	F1	1+4	2_LK_CTRL	seawater	lim_bay	control	19.09.2020
7	24025-0007_all_R1.fastq	24025-0007_all_R2.fastq	plate_1	G1	1+4	2_MS_AQ	seawater	mali_ston_bay	aquaculture	15.09.2020
8	24025-0008_all_R1.fastq	24025-0008_all_R2.fastq	plate_1	H1	1+4	2_MS_CTRL	seawater	mali_ston_bay	control	15.09.2020
9	24025-0009_all_R1.fastq	24025-0009_all_R2.fastq	plate_1	A2	1+4	3_LK_AQ	seawater	lim_bay	aquaculture	14.11.2020
10	24025-0010_all_R1.fastq	24025-0010_all_R2.fastq	plate_1	B2	1+4	3_LK_CTRL	seawater	lim_bay	control	14.11.2020
11	24025-0011_all_R1.fastq	24025-0011_all_R2.fastq	plate_1	C2	1+4	3_MS_AQ	seawater	mali_ston_bay	aquaculture	10.11.2020
12	24025-0012_all_R1.fastq	24025-0012_all_R2.fastq	plate_1	D2	1+4	3_MS_CTRL	seawater	mali_ston_bay	control	10.11.2020
13	24025-0013_all_R1.fastq	24025-0013_all_R2.fastq	plate_1	E2	1	4_LK_AQ	seawater	lim_bay	aquaculture	15.01.2021
14	24025-0014_all_R1.fastq	24025-0014_all_R2.fastq	plate_1	F2	1	4_LK_CTRL	seawater	lim_bay	control	15.01.2021
15	24025-0015_all_R1.fastq	24025-0015_all_R2.fastq	plate_1	G2	1+4	4_MS_AQ	seawater	mali_ston_bay	aquaculture	12.01.2021
16	24025-0016_all_R1.fastq	24025-0016_all_R2.fastq	plate_1	H2	1+4	4_MS_CTRL	seawater	mali_ston_bay	control	12.01.2021
18	24025-0018_all_R1.fastq	24025-0018_all_R2.fastq	plate_1	B3	1+4	5_LK_CTRL	seawater	lim_bay	control	18.03.2021
19	24025-0019_all_R1.fastq	24025-0019_all_R2.fastq	plate_1	C3	1+4	5_MS_AQ	seawater	mali_ston_bay	aquaculture	15.03.2021
20	24025-0020_all_R1.fastq	24025-0020_all_R2.fastq	plate_1	D3	1+4	5_MS_CTRL	seawater	mali_ston_bay	control	15.03.2021
21	24025-0021_all_R1.fastq	24025-0021_all_R2.fastq	plate_1	E3	1	6_LK_AQ	seawater	lim_bay	aquaculture	07.05.2021
22	24025-0022_all_R1.fastq	24025-0022_all_R2.fastq	plate_1	F3	1+4	6_LK_CTRL	seawater	lim_bay	control	07.05.2021
